Geography,Geography Code,All usual residents,Access census area explorer
Antrim_B2,N20000039,499,Antrim_B2 DZ profile
Antrim_A4,N20000040,371,Antrim_A4 DZ profile
Antrim_C1,N20000041,931,Antrim_C1 DZ profile
Antrim_B3,N20000042,661,Antrim_B3 DZ profile
Antrim_D1,N20000043,820,Antrim_D1 DZ profile
Antrim_C2,N20000044,493,Antrim_C2 DZ profile
Antrim_C3,N20000045,466,Antrim_C3 DZ profile
Antrim_D2,N20000046,570,Antrim_D2 DZ profile
Antrim_D3,N20000047,516,Antrim_D3 DZ profile
Antrim_C4,N20000048,562,Antrim_C4 DZ profile
Antrim_G1,N20000049,554,Antrim_G1 DZ profile
Antrim_E1,N20000050,425,Antrim_E1 DZ profile
Antrim_F1,N20000051,493,Antrim_F1 DZ profile
Antrim_F2,N20000052,501,Antrim_F2 DZ profile
Antrim_E2,N20000053,408,Antrim_E2 DZ profile
Antrim_D4,N20000054,517,Antrim_D4 DZ profile
Antrim_E3,N20000055,336,Antrim_E3 DZ profile
Antrim_E4,N20000056,483,Antrim_E4 DZ profile
Antrim_G2,N20000057,465,Antrim_G2 DZ profile
Antrim_H1,N20000058,415,Antrim_H1 DZ profile
Antrim_F3,N20000059,413,Antrim_F3 DZ profile
Antrim_J1,N20000060,355,Antrim_J1 DZ profile
Antrim_H2,N20000061,382,Antrim_H2 DZ profile
Antrim_H3,N20000062,597,Antrim_H3 DZ profile
Antrim_G3,N20000063,354,Antrim_G3 DZ profile
Antrim_J2,N20000064,391,Antrim_J2 DZ profile
Antrim_J3,N20000065,491,Antrim_J3 DZ profile
Antrim_K1,N20000066,325,Antrim_K1 DZ profile
Antrim_K2,N20000067,521,Antrim_K2 DZ profile
Antrim_G4,N20000068,423,Antrim_G4 DZ profile
Antrim_L1,N20000069,461,Antrim_L1 DZ profile
Antrim_J4,N20000070,426,Antrim_J4 DZ profile
Antrim_G5,N20000071,337,Antrim_G5 DZ profile
Antrim_L2,N20000072,559,Antrim_L2 DZ profile
Antrim_F4,N20000073,473,Antrim_F4 DZ profile
Antrim_K3,N20000074,468,Antrim_K3 DZ profile
Antrim_L3,N20000075,432,Antrim_L3 DZ profile
Antrim_N1,N20000076,373,Antrim_N1 DZ profile
Antrim_N2,N20000077,306,Antrim_N2 DZ profile
Antrim_F5,N20000078,324,Antrim_F5 DZ profile
Antrim_K4,N20000079,387,Antrim_K4 DZ profile
Antrim_J5,N20000080,633,Antrim_J5 DZ profile
Antrim_N3,N20000081,334,Antrim_N3 DZ profile
Antrim_K5,N20000082,452,Antrim_K5 DZ profile
Antrim_N4,N20000083,270,Antrim_N4 DZ profile
Antrim_N5,N20000084,288,Antrim_N5 DZ profile
Antrim_L4,N20000085,594,Antrim_L4 DZ profile
Ballyclare_F1,N20000086,611,Ballyclare_F1 DZ profile
Ballyclare_A1,N20000087,473,Ballyclare_A1 DZ profile
Ballyclare_F2,N20000088,485,Ballyclare_F2 DZ profile
Ballyclare_F3,N20000089,680,Ballyclare_F3 DZ profile
Ballyclare_B1,N20000090,804,Ballyclare_B1 DZ profile
Ballyclare_A2,N20000091,509,Ballyclare_A2 DZ profile
Ballyclare_B2,N20000092,802,Ballyclare_B2 DZ profile
Ballyclare_B3,N20000093,408,Ballyclare_B3 DZ profile
Ballyclare_B4,N20000094,427,Ballyclare_B4 DZ profile
Ballyclare_C1,N20000095,397,Ballyclare_C1 DZ profile
Ballyclare_A3,N20000096,582,Ballyclare_A3 DZ profile
Ballyclare_B5,N20000097,574,Ballyclare_B5 DZ profile
Ballyclare_D1,N20000098,383,Ballyclare_D1 DZ profile
Ballyclare_A4,N20000099,464,Ballyclare_A4 DZ profile
Ballyclare_F4,N20000100,705,Ballyclare_F4 DZ profile
Ballyclare_D2,N20000101,463,Ballyclare_D2 DZ profile
Ballyclare_D3,N20000102,475,Ballyclare_D3 DZ profile
Ballyclare_C2,N20000103,353,Ballyclare_C2 DZ profile
Ballyclare_C3,N20000104,533,Ballyclare_C3 DZ profile
Ballyclare_C4,N20000105,408,Ballyclare_C4 DZ profile
Ballyclare_D4,N20000106,413,Ballyclare_D4 DZ profile
Ballyclare_D5,N20000107,402,Ballyclare_D5 DZ profile
Ballyclare_C5,N20000108,349,Ballyclare_C5 DZ profile
Ballyclare_E1,N20000109,552,Ballyclare_E1 DZ profile
Ballyclare_E2,N20000110,661,Ballyclare_E2 DZ profile
Ballyclare_E3,N20000111,557,Ballyclare_E3 DZ profile
Ballyclare_C6,N20000112,323,Ballyclare_C6 DZ profile
Ballyclare_D6,N20000113,402,Ballyclare_D6 DZ profile
Ballyclare_E4,N20000114,439,Ballyclare_E4 DZ profile
Ballyclare_E5,N20000115,727,Ballyclare_E5 DZ profile
Ballyclare_G1,N20000116,311,Ballyclare_G1 DZ profile
Ballyclare_G2,N20000117,343,Ballyclare_G2 DZ profile
Ballyclare_G3,N20000118,418,Ballyclare_G3 DZ profile
Ballyclare_G4,N20000119,332,Ballyclare_G4 DZ profile
Ballyclare_H1,N20000120,402,Ballyclare_H1 DZ profile
Ballyclare_F5,N20000121,705,Ballyclare_F5 DZ profile
Ballyclare_H2,N20000122,712,Ballyclare_H2 DZ profile
Ballyclare_H3,N20000123,487,Ballyclare_H3 DZ profile
Three_Mile_Water_A1,N20000124,457,Three_Mile_Water_A1 DZ profile
Three_Mile_Water_B1,N20000125,438,Three_Mile_Water_B1 DZ profile
Three_Mile_Water_C1,N20000126,611,Three_Mile_Water_C1 DZ profile
Three_Mile_Water_A2,N20000127,193,Three_Mile_Water_A2 DZ profile
Three_Mile_Water_C2,N20000128,701,Three_Mile_Water_C2 DZ profile
Three_Mile_Water_A3,N20000129,826,Three_Mile_Water_A3 DZ profile
Three_Mile_Water_D1,N20000130,561,Three_Mile_Water_D1 DZ profile
Three_Mile_Water_A4,N20000131,390,Three_Mile_Water_A4 DZ profile
Three_Mile_Water_E1,N20000132,606,Three_Mile_Water_E1 DZ profile
Three_Mile_Water_C3,N20000133,740,Three_Mile_Water_C3 DZ profile
Three_Mile_Water_E2,N20000134,676,Three_Mile_Water_E2 DZ profile
Three_Mile_Water_D2,N20000135,523,Three_Mile_Water_D2 DZ profile
Three_Mile_Water_D3,N20000136,493,Three_Mile_Water_D3 DZ profile
Three_Mile_Water_B2,N20000137,456,Three_Mile_Water_B2 DZ profile
Three_Mile_Water_K1,N20000138,497,Three_Mile_Water_K1 DZ profile
