Census 2021 Data Zone Code,Census 2021 Data Zone Label,Household Deprivation Code,Household Deprivation Label,Count
N20001590,Coleraine_H4,2,Household is deprived in 1 dimension,86
N20001590,Coleraine_H4,3,Household is deprived in 2 dimensions,44
N20001590,Coleraine_H4,4,Household is deprived in 3 dimensions,6
N20001590,Coleraine_H4,5,Household is deprived in 4 dimensions,0
N20001591,Coleraine_H5,1,Household is not deprived in any dimension,125
N20001591,Coleraine_H5,2,Household is deprived in 1 dimension,77
N20001591,Coleraine_H5,3,Household is deprived in 2 dimensions,48
N20001591,Coleraine_H5,4,Household is deprived in 3 dimensions,8
N20001591,Coleraine_H5,5,Household is deprived in 4 dimensions,1
N20001592,Coleraine_J5,1,Household is not deprived in any dimension,95
N20001592,Coleraine_J5,2,Household is deprived in 1 dimension,53
N20001592,Coleraine_J5,3,Household is deprived in 2 dimensions,14
N20001592,Coleraine_J5,4,Household is deprived in 3 dimensions,1
N20001592,Coleraine_J5,5,Household is deprived in 4 dimensions,0
N20001593,Coleraine_J6,1,Household is not deprived in any dimension,90
N20001593,Coleraine_J6,2,Household is deprived in 1 dimension,72
N20001593,Coleraine_J6,3,Household is deprived in 2 dimensions,24
N20001593,Coleraine_J6,4,Household is deprived in 3 dimensions,3
N20001593,Coleraine_J6,5,Household is deprived in 4 dimensions,0
N20001594,Coleraine_H6,1,Household is not deprived in any dimension,101
N20001594,Coleraine_H6,2,Household is deprived in 1 dimension,95
N20001594,Coleraine_H6,3,Household is deprived in 2 dimensions,42
N20001594,Coleraine_H6,4,Household is deprived in 3 dimensions,4
N20001594,Coleraine_H6,5,Household is deprived in 4 dimensions,0
N20001595,Coleraine_K3,1,Household is not deprived in any dimension,30
N20001595,Coleraine_K3,2,Household is deprived in 1 dimension,40
N20001595,Coleraine_K3,3,Household is deprived in 2 dimensions,35
N20001595,Coleraine_K3,4,Household is deprived in 3 dimensions,24
N20001595,Coleraine_K3,5,Household is deprived in 4 dimensions,1
N20001596,Coleraine_K4,1,Household is not deprived in any dimension,122
N20001596,Coleraine_K4,2,Household is deprived in 1 dimension,79
N20001596,Coleraine_K4,3,Household is deprived in 2 dimensions,22
N20001596,Coleraine_K4,4,Household is deprived in 3 dimensions,3
N20001596,Coleraine_K4,5,Household is deprived in 4 dimensions,0
N20001597,Causeway_A1,1,Household is not deprived in any dimension,131
N20001597,Causeway_A1,2,Household is deprived in 1 dimension,95
N20001597,Causeway_A1,3,Household is deprived in 2 dimensions,59
N20001597,Causeway_A1,4,Household is deprived in 3 dimensions,15
N20001597,Causeway_A1,5,Household is deprived in 4 dimensions,1
N20001598,Causeway_A2,1,Household is not deprived in any dimension,67
N20001598,Causeway_A2,2,Household is deprived in 1 dimension,54
N20001598,Causeway_A2,3,Household is deprived in 2 dimensions,33
N20001598,Causeway_A2,4,Household is deprived in 3 dimensions,13
N20001598,Causeway_A2,5,Household is deprived in 4 dimensions,1
N20001599,Causeway_B1,1,Household is not deprived in any dimension,80
N20001599,Causeway_B1,2,Household is deprived in 1 dimension,61
N20001599,Causeway_B1,3,Household is deprived in 2 dimensions,49
N20001599,Causeway_B1,4,Household is deprived in 3 dimensions,22
N20001599,Causeway_B1,5,Household is deprived in 4 dimensions,2
N20001600,Causeway_C1,1,Household is not deprived in any dimension,16
N20001600,Causeway_C1,2,Household is deprived in 1 dimension,38
N20001600,Causeway_C1,3,Household is deprived in 2 dimensions,56
N20001600,Causeway_C1,4,Household is deprived in 3 dimensions,26
N20001600,Causeway_C1,5,Household is deprived in 4 dimensions,6
